player,type,converted,type,date
sileo,L,+,practice,2023-09-22
sileo,A,0,practice,2023-09-22
sileo,L,+,practice,2023-09-22
sileo,F,+,practice,2023-09-22
sileo,G,+,practice,2023-09-22
sileo,L,0,practice,2023-09-22
sileo,G,0,practice,2023-09-22
sileo,A,0,practice,2023-09-22
sileo,G,0,practice,2023-09-22
sileo,G,0,practice,2023-09-22
sileo,X,-,practice,2023-09-22
connelly,L,0,practice,2023-09-22
connelly,G,0,practice,2023-09-22
connelly,A,0,practice,2023-09-22
connelly,A,0,practice,2023-09-22
connelly,L,/,practice,2023-09-22
connelly,A,0,practice,2023-09-22
connelly,A,0,practice,2023-09-22
connelly,A,0,practice,2023-09-22
connelly,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,A,0,practice,2023-09-22
edgmon,L,0,practice,2023-09-22
edgmon,L,/,practice,2023-09-22
vukadinovich,G,0,practice,2023-09-22
vukadinovich,L,/,practice,2023-09-22
vukadinovich,L,0,practice,2023-09-22
vukadinovich,G,/,practice,2023-09-22
vukadinovich,V,+,practice,2023-09-22
black,L,0,practice,2023-09-22
black,G,0,practice,2023-09-22
black,P,0,practice,2023-09-22
hillman,A,0,practice,2023-09-22
hillman,A,0,practice,2023-09-22
hillman,L,0,practice,2023-09-22
hillman,A,0,practice,2023-09-22
condon,A,0,practice,2023-09-22
condon,B,0,practice,2023-09-22
condon,B,0,practice,2023-09-22
condon,G,0,practice,2023-09-22
pritchett,P,+,practice,2023-09-22
pritchett,S,+,practice,2023-09-22
tucker,F,-,practice,2023-09-22
tucker,B,0,practice,2023-09-22
allen,S,0,practice,2023-09-22
allen,S,+,practice,2023-09-22
chapin,A,0,practice,2023-09-22
