player,type,converted,type,date
vukadinovich,W,+,scrimmage,2023-09-22
condon,A,0,scrimmage,2023-09-22
tucker,L,0,scrimmage,2023-09-22
tucker,L,0,scrimmage,2023-09-22
tucker,A,0,scrimmage,2023-09-22
tucker,A,0,scrimmage,2023-09-22
gailey,E,-,scrimmage,2023-09-22
gailey,A,0,scrimmage,2023-09-22
pritchett,S,0,scrimmage,2023-09-22
pritchett,Q,0,scrimmage,2023-09-22
pritchett,P,-,scrimmage,2023-09-22
black,B,0,scrimmage,2023-09-22
black,A,0,scrimmage,2023-09-22
hunter,S,+,scrimmage,2023-09-22
hunter,P,+,scrimmage,2023-09-22
chapin,A,0,scrimmage,2023-09-22
chapin,E,-,scrimmage,2023-09-22
edgmon,X,+,scrimmage,2023-09-22
edgmon,A,0,scrimmage,2023-09-22
sileo,A,0,scrimmage,2023-09-22
sileo,G,0,scrimmage,2023-09-22
hughes,G,0,scrimmage,2023-09-22
dobbins,X,-,scrimmage,2023-09-22
