player,type,converted,type,date
vukadinovich,A,0,scrimmage,2023-09-23
black,B,0,scrimmage,2023-09-23
black,F,0,scrimmage,2023-09-23
black,Q,0,scrimmage,2023-09-23
black,G,0,scrimmage,2023-09-23
black,G,0,scrimmage,2023-09-23
black,G,0,scrimmage,2023-09-23
black,B,0,scrimmage,2023-09-23
allen,S,+,scrimmage,2023-09-23
domingue,G,0,scrimmage,2023-09-23
domingue,G,0,scrimmage,2023-09-23
tucker,L,+,scrimmage,2023-09-23
tucker,B,-,scrimmage,2023-09-23
tucker,X,-,scrimmage,2023-09-23
tucker,G,0,scrimmage,2023-09-23
tucker,L,0,scrimmage,2023-09-23
hillman,A,0,scrimmage,2023-09-23
connelly,G,0,scrimmage,2023-09-23
connelly,G,0,scrimmage,2023-09-23
connelly,F,/,scrimmage,2023-09-23
connelly,P,+,scrimmage,2023-09-23
sileo,G,0,scrimmage,2023-09-23
sileo,L,0,scrimmage,2023-09-23
sileo,L,0,scrimmage,2023-09-23
sileo,F,0,scrimmage,2023-09-23
sileo,F,+,scrimmage,2023-09-23
